,Name,sigma0,sigma_global,MV,Re,mV0,re
40,B075-G136,5.2,4.2,-7.895,4.86,16.56547301,1.285188408
41,B076-G138,9.3,7.3,-8.17,2.065380156,16.29047301,0.546173382
42,B080-G141,7,5.9,-9.02,3.73,15.44047301,0.986368881
43,B082-G144,28.2,22.7,-11.295,2.773320105,13.16547301,0.73338248
44,B083-G146,4,3.4,-8.52,4.980000019,15.94047301,1.31692146
45,B085-G147,7.5,5.9,-8.12,2.519999981,16.34047301,0.666393984
46,B086-G148,20.8,17,-9.77,2.99,14.69047301,0.790681757
47,B087D,6.6,5,-7.345,2.13,17.11547301,0.563261586
48,B088-G150,17.1,14.1,-10.545,3.872576449,13.91547301,1.024072091
49,B088D,4.3,3.6,-6.32,3.12,18.14047301,0.825059225
50,B090,5.7,4.4,-6.245,1.832314422,18.21547301,0.484540999
51,B091D-D058,20.9,17.2,-9.77,1.299999952,14.69047301,0.343774664
52,B093-G155,8.5,6.5,-8.82,2.72,15.64047301,0.719282401
53,B094-G156,12.9,10.4,-9.52,1.85,14.94047301,0.48921781
54,B095-G157,10.5,8.8,-9.695,2.960000038,14.76547301,0.782748506
55,B096-G158,13.7,10.1,-9.795,1.64,14.66547301,0.433684977
56,B097-G159,9.3,7.5,-8.72,1.94,15.74047301,0.513017595
57,B098,11.5,9.4,-8.795,1.210000038,15.66547301,0.319974902
58,B103-G165,18,14.6,-10.37,2.29,14.09047301,0.605572316
59,B104-NB5,6.7,5.1,-7.57,3.99,16.89047301,1.055123817
60,B107-G169,19.1,14.6,-9.345,2.79,15.11547301,0.737793345
61,B109-G170,9.5,7.7,-8.52,2.322736796,15.94047301,0.614229302
62,B110-G172,21.2,17.8,-9.595,2.172701179,14.86547301,0.574553574
63,B111-G173,10.2,8.4,-8.27,1.850000024,16.19047301,0.489217816
64,B112-G174,11.4,9,-8.295,2.16,16.16547301,0.571194848
65,B114-G175,3.9,3.3,-7.52,1.610645635,16.94047301,0.425922449
66,B115-G177,13.6,11,-8.72,1.774189481,15.74047301,0.46917032
67,B116-G178,16.8,13.5,-9.87,1.78,14.59047301,0.470706866
